"ScriptName"	"ID"	"Noun"	"Region"	"Condition"	"predictability_weight"	"deletion_rate"	"Surprisal"	"ThatFraction"
"1"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"accusation"	"V1_0"	"NoSC"	0	0.4	2.73853921890259	0.0243055555555556
"2"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"accusation"	"V1_0"	"SC"	0	0.4	6.02394008636475	0.822916666666667
"3"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"admission"	"V1_0"	"NoSC"	0	0.4	3.16346120834351	0
"4"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"admission"	"V1_0"	"SC"	0	0.4	7.49217128753662	0.75
"5"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"allegation"	"V1_0"	"NoSC"	0	0.4	1.63091218471527	0.0104166666666667
"6"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"allegation"	"V1_0"	"SC"	0	0.4	6.54206609725952	0.916666666666667
"7"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"announcement"	"V1_0"	"NoSC"	0	0.4	1.4353746175766	0.00347222222222222
"8"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"announcement"	"V1_0"	"SC"	0	0.4	6.39240026473999	0.673611111111111
"9"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assertion"	"V1_0"	"NoSC"	0	0.4	2.30031275749207	0.253472222222222
"10"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assertion"	"V1_0"	"SC"	0	0.4	5.63758850097656	0.878472222222222
"11"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assessment"	"V1_0"	"NoSC"	0	0.4	2.2086923122406	0.00347222222222222
"12"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assessment"	"V1_0"	"SC"	0	0.4	5.61829137802124	0.670138888888889
"13"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assumption"	"V1_0"	"NoSC"	0	0.4	3.01191520690918	0.09375
"14"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assumption"	"V1_0"	"SC"	0	0.4	5.43760585784912	0.920138888888889
"15"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assurance"	"V1_0"	"NoSC"	0	0.4	3.47352266311646	0.0590277777777778
"16"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"assurance"	"V1_0"	"SC"	0	0.4	5.04998588562012	1
"17"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"belief"	"V1_0"	"NoSC"	0	0.4	2.91271686553955	0.09375
"18"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"belief"	"V1_0"	"SC"	0	0.4	5.56673717498779	0.809027777777778
"19"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"certainty"	"V1_0"	"NoSC"	0	0.4	6.30692625045776	0.00694444444444444
"20"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"certainty"	"V1_0"	"SC"	0	0.4	7.99778747558594	0.920138888888889
"21"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"claim"	"V1_0"	"NoSC"	0	0.4	4.73305606842041	0.0972222222222222
"22"	"char-lm-ud-stationary_12_SuperLong_WithAutoencoder_WithEx_Samples_Short_Combination_NoLM"	752893542	"claim"	"V1_0"	"SC"	0	0.4	8.55363464355469	0.944444444444444
