"deletion_rate"	"predictability_weight"	"Noun"	"Condition"	"SurprisalLogLikRatio"
"1"	0.1	0.25	"accusation"	"g"	-19.7059850494067
"2"	0.1	0.25	"accusation"	"u"	-12.077629160881
"3"	0.1	0.25	"admission"	"g"	-20.2511033713818
"4"	0.1	0.25	"admission"	"u"	-12.6878440697988
"5"	0.1	0.25	"allegation"	"g"	-18.9671991169453
"6"	0.1	0.25	"allegation"	"u"	-11.6443046251933
"7"	0.1	0.25	"announcement"	"g"	-20.6023706893126
"8"	0.1	0.25	"announcement"	"u"	-11.0945387999217
"9"	0.1	0.25	"assertion"	"g"	-20.391887307167
"10"	0.1	0.25	"assertion"	"u"	-11.5399785955747
"11"	0.1	0.25	"assessment"	"g"	-20.1312240163485
"12"	0.1	0.25	"assessment"	"u"	-12.0425357739131
"13"	0.1	0.25	"assumption"	"g"	-19.9468955397606
"14"	0.1	0.25	"assumption"	"u"	-11.2747448007266
"15"	0.1	0.25	"assurance"	"g"	-19.8267791867256
"16"	0.1	0.25	"assurance"	"u"	-11.3663158535957
"17"	0.1	0.25	"belief"	"g"	-19.4389688074589
"18"	0.1	0.25	"belief"	"u"	-11.2791861613591
"19"	0.1	0.25	"certainty"	"g"	-19.2691063582897
"20"	0.1	0.25	"certainty"	"u"	-11.2316929221153
"21"	0.1	0.25	"claim"	"g"	-19.9466135402521
"22"	0.1	0.25	"claim"	"u"	-11.6449347456296
"23"	0.1	0.25	"complaint"	"g"	-20.3918903966745
"24"	0.1	0.25	"complaint"	"u"	-12.1270780881246
"25"	0.1	0.25	"concern"	"g"	-20.3406433959802
"26"	0.1	0.25	"concern"	"u"	-11.539237054189
"27"	0.1	0.25	"conclusion"	"g"	-19.8467789292335
"28"	0.1	0.25	"conclusion"	"u"	-11.5086452484131
"29"	0.1	0.25	"confirmation"	"g"	-19.9092764854431
"30"	0.1	0.25	"confirmation"	"u"	-11.7524398883184
"31"	0.1	0.25	"conjecture"	"g"	-19.915666004022
"32"	0.1	0.25	"conjecture"	"u"	-10.8613709131877
"33"	0.1	0.25	"contention"	"g"	-19.8887242674828
"34"	0.1	0.25	"contention"	"u"	-11.6433855613073
"35"	0.1	0.25	"conviction"	"g"	-20.1818076074123
"36"	0.1	0.25	"conviction"	"u"	-12.0248230218887
"37"	0.1	0.25	"declaration"	"g"	-19.8975704113642
"38"	0.1	0.25	"declaration"	"u"	-11.4186822692553
"39"	0.1	0.25	"disclosure"	"g"	-19.7125373284022
"40"	0.1	0.25	"disclosure"	"u"	-12.2133353471756
"41"	0.1	0.25	"evidence"	"g"	-19.0044102370739
"42"	0.1	0.25	"evidence"	"u"	-12.078057261308
"43"	0.1	0.25	"fact"	"g"	-19.976137538751
"44"	0.1	0.25	"fact"	"u"	-11.2702926516533
"45"	0.1	0.25	"feeling"	"g"	-20.1464246114095
"46"	0.1	0.25	"feeling"	"u"	-11.2953394174576
"47"	0.1	0.25	"finding"	"g"	-19.9921012222767
"48"	0.1	0.25	"finding"	"u"	-11.8711890697479
"49"	0.1	0.25	"guess"	"g"	-18.4058295786381
"50"	0.1	0.25	"guess"	"u"	-11.1775293270747
"51"	0.1	0.25	"idea"	"g"	-20.2425812780857
"52"	0.1	0.25	"idea"	"u"	-11.6154441754023
"53"	0.1	0.25	"impression"	"g"	-19.8392061094443
"54"	0.1	0.25	"impression"	"u"	-11.3048635840416
"55"	0.1	0.25	"indication"	"g"	-19.6687001188596
"56"	0.1	0.25	"indication"	"u"	-11.0526006937027
"57"	0.1	0.25	"information"	"g"	-19.3145999014378
"58"	0.1	0.25	"information"	"u"	-12.0769820928574
"59"	0.1	0.25	"insinuation"	"g"	-17.2956202526887
"60"	0.1	0.25	"insinuation"	"u"	-11.0616597851118
"61"	0.1	0.25	"intuition"	"g"	-19.769891311725
"62"	0.1	0.25	"intuition"	"u"	-11.6240478078524
"63"	0.1	0.25	"message"	"g"	-19.8952342967192
"64"	0.1	0.25	"message"	"u"	-11.8186617612839
"65"	0.1	0.25	"myth"	"g"	-18.7515964905421
"66"	0.1	0.25	"myth"	"u"	-11.4134759624799
"67"	0.1	0.25	"news"	"g"	-18.5897095898787
"68"	0.1	0.25	"news"	"u"	-11.059316209952
"69"	0.1	0.25	"notion"	"g"	-20.1834969023863
"70"	0.1	0.25	"notion"	"u"	-11.4325905362765
"71"	0.1	0.25	"observation"	"g"	-19.4629393517971
"72"	0.1	0.25	"observation"	"u"	-11.2180216828982
"73"	0.1	0.25	"opinion"	"g"	-20.4963583548864
"74"	0.1	0.25	"opinion"	"u"	-11.6233735005061
"75"	0.1	0.25	"perception"	"g"	-20.1458712220192
"76"	0.1	0.25	"perception"	"u"	-11.6791596929232
"77"	0.1	0.25	"prediction"	"g"	-20.0717609425386
"78"	0.1	0.25	"prediction"	"u"	-12.001574130853
"79"	0.1	0.25	"presumption"	"g"	-19.5328517556191
"80"	0.1	0.25	"presumption"	"u"	-11.3759075919787
"81"	0.1	0.25	"proof"	"g"	-19.6826066275438
"82"	0.1	0.25	"proof"	"u"	-11.3317692796389
"83"	0.1	0.25	"realization"	"g"	-19.8743056754271
"84"	0.1	0.25	"realization"	"u"	-11.2829535524051
